x_peak,y_peak,peak_value
2696.0,2021.0,3697.6197295116112
2705.0,2024.0,4029.119729511611
2709.0,2020.0,3759.6197295116112
2713.0,2025.0,2480.2134795116112
2718.0,2025.0,3302.9947295116112
2713.0,2024.0,4267.463479511611
2724.0,2027.0,3929.119729511611
2729.0,2027.0,3606.3384795116117
2727.0,2028.0,4173.494729511611
2744.0,2032.0,3421.4322295116112
2754.0,2034.0,3227.1197295116112
2744.0,2032.0,4392.369729511611
2749.0,2035.0,5838.869729511611
2758.0,2033.0,4876.119729511612
2758.0,2046.0,4202.072854511611
2759.0,2050.0,2708.307229511611
2767.0,2036.0,3835.588479511611
2774.0,2041.0,3463.7291045116112
2781.0,2038.0,4403.869729511611
2778.0,2053.0,5481.854104511611
2782.0,2040.0,3780.057229511611
2787.0,2044.0,2323.6197295116117
2593.0,2009.0,1749.5572295116112
2594.0,2021.0,5354.994729511611
2592.0,2019.0,5314.932229511611
2602.0,2024.0,2265.6978545116112
2607.0,2011.0,3080.6197295116112
2608.0,2012.0,3225.6197295116112
2605.0,2023.0,3512.8072295116117
2608.0,2012.0,3367.1197295116112
2612.0,2024.0,4584.494729511611
2626.0,2011.0,1609.2447295116112
2623.0,2017.0,3280.6822295116117
2620.0,2015.0,2036.9322295116112
2629.0,2016.0,2193.6197295116112
2631.0,2027.0,1985.6197295116112
2637.0,2016.0,2146.4478545116112
2627.0,2018.0,2633.8697295116112
2635.0,2017.0,2926.4009795116117
2632.0,2023.0,3133.9009795116117
2637.0,2015.0,2357.9947295116112
2628.0,2016.0,3456.088479511611
2634.0,2013.0,2718.8384795116112
2630.0,2014.0,1339.1353545116115
2636.0,2017.0,1436.6822295116112
2638.0,2018.0,2409.9009795116112
2639.0,2017.0,2193.1197295116117
2642.0,2018.0,3486.7447295116112
2643.0,2018.0,2990.7447295116112
