x_peak,y_peak,peak_value
1154,1777,5217.619729511611
2696,2021,3697.6197295116112
3644,2211,1121.6197295116112
1159,1776,6742.619729511611
2705,2024,4029.119729511611
3648,2215,1437.6197295116112
1154,1773,4533.057229511611
2709,2020,3759.6197295116112
1153,1775,4708.400979511611
2713,2025,2480.2134795116112
3641,2211,1188.400979511611
1152,1772,3606.6197295116112
2718,2025,3302.9947295116112
3637,2211,1058.0572295116112
1140,1772,7230.025979511611
2713,2024,4267.463479511611
3620,2207,1061.3072295116112
1144,1773,4514.619729511611
2724,2027,3929.119729511611
1145,1773,6500.557229511611
2729,2027,3606.3384795116117
1137,1773,8512.99472951161
2727,2028,4173.494729511611
3614,2208,1195.6197295116112
1147,1772,4870.307229511611
2744,2032,3421.4322295116112
1149,1775,4546.338479511611
2754,2034,3227.1197295116112
1136,1770,7375.619729511611
2744,2032,4392.369729511611
3609,2207,1283.8697295116112
1138,1774,7651.182229511611
2749,2035,5838.869729511611
3608,2209,1477.4947295116112
1138,1771,6983.119729511611
2758,2033,4876.119729511612
3611,2207,1556.1197295116115
1131,1785,7460.463479511611
2758,2046,4202.072854511611
3601,2220,1307.2447295116112
1130,1786,4792.807229511611
2115,1950,3715.8697295116112
2759,2050,2708.307229511611
1131,1769,5730.307229511611
2106,1938,4753.150979511611
2767,2036,3835.588479511611
3596,2203,1184.9634795116112
1135,1770,5249.61972951161
2100,1939,4508.979104511611
2774,2041,3463.7291045116112
3596,2207,1107.1822295116112
1131,1768,3708.1197295116117
2095,1935,3694.5259795116117
2781,2038,4403.869729511611
3601,2201,1045.6197295116112
1130,1780,8015.994729511612
2080,1947,5944.635354511611
2778,2053,5481.854104511611
3589,2218,1271.5416045116112
1129,1768,4209.744729511611
2072,1933,3770.3072295116112
2782,2040,3780.057229511611
3584,2204,1020.307229511611
