x_peak,y_peak,peak_value
1154,1777,5217.619729511611
2696,2021,3697.6197295116112
3644,2211,1121.6197295116112
1159,1776,6742.619729511611
2705,2024,4029.119729511611
3648,2215,1437.6197295116112
1154,1773,4533.057229511611
2709,2020,3759.6197295116112
1153,1775,4708.400979511611
2713,2025,2480.2134795116112
3641,2211,1188.400979511611
1152,1772,3606.6197295116112
2718,2025,3302.9947295116112
3637,2211,1058.0572295116112
1140,1772,7230.025979511611
2713,2024,4267.463479511611
3620,2207,1061.3072295116112
1144,1773,4514.619729511611
2724,2027,3929.119729511611
1145,1773,6500.557229511611
2729,2027,3606.3384795116117
1137,1773,8512.99472951161
2727,2028,4173.494729511611
3614,2208,1195.6197295116112
1147,1772,4870.307229511611
2744,2032,3421.4322295116112
1149,1775,4546.338479511611
2754,2034,3227.1197295116112
1136,1770,7375.619729511611
2744,2032,4392.369729511611
3609,2207,1283.8697295116112
1138,1774,7651.182229511611
2749,2035,5838.869729511611
3608,2209,1477.4947295116112
1138,1771,6983.119729511611
2758,2033,4876.119729511612
3611,2207,1556.1197295116115
1131,1785,7460.463479511611
2758,2046,4202.072854511611
3601,2220,1307.2447295116112
1130,1786,4792.807229511611
2115,1950,3715.8697295116112
2759,2050,2708.307229511611
1131,1769,5730.307229511611
2106,1938,4753.150979511611
2767,2036,3835.588479511611
3596,2203,1184.9634795116112
1135,1770,5249.61972951161
2100,1939,4508.979104511611
2774,2041,3463.7291045116112
3596,2207,1107.1822295116112
1131,1768,3708.1197295116117
2095,1935,3694.5259795116117
2781,2038,4403.869729511611
3601,2201,1045.6197295116112
1130,1780,8015.994729511612
2080,1947,5944.635354511611
2778,2053,5481.854104511611
3589,2218,1271.5416045116112
1129,1768,4209.744729511611
2072,1933,3770.3072295116112
2782,2040,3780.057229511611
3584,2204,1020.307229511611
1659,1903,2859.3697295116112
2071,1918,4042.494729511611
2594,2021,5354.994729511611
2937,2062,5274.744729511611
1656,1898,2078.4478545116112
2075,1916,3571.9166045116112
2592,2019,5314.932229511611
2944,2061,5126.666604511611
1656,1902,1673.6353545116112
2085,1920,2296.9009795116112
2602,2024,2265.6978545116112
2951,2071,3822.1978545116112
1647,1887,1539.1197295116115
2089,1909,2988.1197295116112
2607,2011,3080.6197295116112
2952,2057,3901.119729511611
1642,1888,2273.6197295116112
2097,1912,3039.1197295116112
2608,2012,3225.6197295116112
2955,2055,4426.619729511611
1636,1896,1525.1822295116112
2094,1923,3544.6197295116117
2605,2023,3512.8072295116117
2957,2062,2878.6197295116112
1632,1882,1304.6197295116112
2105,1911,2033.2447295116115
2608,2012,3367.1197295116112
2957,2056,3155.9947295116112
1637,1883,1023.3697295116112
1622,1895,2258.9322295116112
2117,1926,3530.9322295116112
2612,2024,4584.494729511611
2965,2067,4264.463479511611
2626,2011,1609.2447295116112
2978,2052,2878.5572295116112
2990,2054,1395.2447295116112
1622,1883,1706.807229511611
2623,2017,3280.6822295116117
2979,2064,3810.6509795116117
1613,1882,1558.5572295116112
2620,2015,2036.9322295116112
2978,2057,3026.4947295116112
2629,2016,2193.6197295116112
2631,2027,1985.6197295116112
2989,2057,3801.6197295116112
1611,1881,1645.432229511611
2637,2016,2146.4478545116112
2627,2018,2633.8697295116112
2992,2063,3986.9634795116112
1610,1877,1605.557229511611
2635,2017,2926.4009795116117
2632,2023,3133.9009795116117
2997,2065,3085.3072295116117
1593,1876,1414.2447295116115
2637,2015,2357.9947295116112
2628,2016,3456.088479511611
2995,2060,4388.463479511611
1599,1873,1320.338479511611
2634,2013,2718.8384795116112
3000,2058,3004.8072295116112
2630,2014,1339.1353545116115
2636,2017,1436.6822295116112
3004,2058,2141.2291045116112
1592,1876,1205.9009795116112
2639,2017,2193.1197295116117
3017,2064,2667.4791045116117
1588,1875,1498.7447295116112
2642,2018,3486.7447295116112
3021,2070,3341.3072295116112
1583,1872,1055.9009795116112
2643,2018,2990.7447295116112
3023,2064,3416.4322295116112
1032,1772,1296.9634795116112
1022,1776,1154.9947295116112
1777,1873,3911.8072295116112
2877,2068,2386.7447295116112
3292,2137,3642.8072295116112
1786,1871,1705.8697295116112
2882,2069,1650.8697295116112
3300,2139,2740.2447295116112
1014,1775,1052.9634795116112
1015,1771,1424.1197295116112
1781,1873,4085.619729511611
2879,2071,1758.1197295116112
3293,2132,2730.6197295116112
1017,1770,1036.1509795116112
1780,1871,2973.7134795116117
2887,2068,1759.494729511611
3298,2131,3958.0259795116112
1008,1773,1713.6822295116112
1008,1772,1786.9322295116115
1784,1873,4867.682229511611
2883,2070,3217.4322295116112
3290,2134,3894.4322295116112
1011,1772,1714.8072295116112
1787,1874,4470.557229511611
2886,2070,3229.213479511611
3297,2135,3238.494729511611
1002,1770,1877.3228545116112
1784,1868,3518.1822295116112
2886,2070,3556.9634795116112
3297,2135,3444.4947295116112
999,1765,1331.3541045116112
987,1786,1632.8072295116112
1781,1883,2701.9322295116112
2873,2082,2099.0572295116112
3282,2143,2401.3697295116112
991,1767,2245.1822295116112
1785,1870,4146.650979511611
2874,2065,2290.1197295116112
3287,2134,2874.8697295116112
987,1773,1587.7134795116112
1791,1880,2380.4322295116112
2879,2069,2501.9009795116112
3292,2136,2881.9947295116112
987,1766,1446.9947295116112
1785,1870,3807.6666045116112
2869,2065,2148.7759795116112
3284,2131,3128.2134795116112
977,1765,1258.1041045116112
965,1762,1336.6197295116112
1787,1872,3306.4947295116112
2868,2066,2731.8697295116112
3282,2134,3960.182229511611
969,1766,1107.6041045116112
1798,1872,1257.6197295116112
2867,2067,1656.6197295116112
3287,2129,1206.6197295116112
965,1766,1151.6197295116112
1812,1877,1770.088479511611
2867,2063,1450.025979511611
3286,2124,2328.8697295116112
1801,1880,1644.713479511611
2865,2065,1448.900979511611
3273,2132,1475.307229511611
3272,2140,1551.619729511611
